RefLink,CarName,Price,Depreciation,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Type of Vehicle,Reg Date,Transmission,OMV,ARF,Power,No of Owners
https://www.sgcarmart.com/used_cars/info.php?ID=1060576&DL=2648,Mercedes-Benz E-Class E200 Exclusive,"$124,944","$20,240 /yr
View models with similar depre","89,000 km (16k /yr)","$1,202 /yr","$74,519 as of today (change)","$57,903","1,991 cc","1,605 kg",Luxury Sedan,"05-Sep-2016
(4yrs 5mths 11days COE left)",Auto,"$54,238","$69,629",135.0 kW (181 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1075813&DL=2650,Infiniti QX80 5.6A,"$219,800","$22,480 /yr
View models with similar depre","33,200 km (13.4k /yr)","$6,378 /yr","$105,632 as of today (change)","$39,889","5,552 cc","2,815 kg",SUV,"30-Sep-2019
(7yrs 6mths 5days COE left)",Auto,"$71,874","$101,374",298.0 kW (399 bhp),2
https://www.sgcarmart.com/used_cars/info.php?ID=1071654&DL=2080,Kia Sportage 2.0A,"$68,800","$11,830 /yr
View models with similar depre","118,000 km (22.6k /yr)","$1,212 /yr","$42,399 as of today (change)","$54,200","1,999 cc","1,500 kg",SUV,"05-Jan-2017
(4yrs 9mths 11days COE left)",Auto,"$23,112","$24,357",114.0 kW (152 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1081645&DL=3142,BMW M Series M3 Sedan Competition Package,"$295,800","$54,660 /yr
View models with similar depre","69,000 km (12.4k /yr)","$2,362 /yr","$98,775 as of today (change)","$58,201","2,979 cc","1,560 kg",Sports Car,"07-Sep-2016
(4yrs 5mths 13days COE left)",Auto,"$73,494","$104,290",331.0 kW (443 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1075031&DL=1000,BMW 5 Series 520i,"$65,000","$18,050 /yr
View models with similar depre","106,000 km (13.5k /yr)","$1,210 /yr","$46,622 as of today (change)","$70,002","1,997 cc","1,615 kg",Luxury Sedan,"14-May-2014
(2yrs 1mth 19days COE left)",Auto,"$46,956","$52,739",135.0 kW (181 bhp),2
https://www.sgcarmart.com/used_cars/info.php?ID=1081271&DL=2434,BMW 3 Series 320i Shadow Edition,"$134,800","$18,790 /yr
View models with similar depre","41,000 km (10k /yr)","$1,210 /yr","$61,076 as of today (change)","$42,322","1,998 cc","1,450 kg",Luxury Sedan,"12-Feb-2018
(5yrs 10mths 18days COE left)",Auto,"$40,139","$48,195",135.0 kW (181 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1067187&DL=2524,Mercedes-Benz C-Class C180 Avantgarde,"$66,800","$19,950 /yr
View models with similar depre","138,000 km (18.7k /yr)",$740 /yr,"$35,485 as of today (change)","$68,689","1,595 cc","1,425 kg",Luxury Sedan,"03-Nov-2014
(2yrs 7mths 9days COE left)",Auto,"$33,728","$29,220",115.0 kW (154 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1077816&DL=3723,Lexus IS250 (COE till 10/2029),"$74,800","$9,830 /yr",N.A.,"$2,340 /yr","$28,543 as of today (change)","$37,502","2,500 cc","1,625 kg",Luxury Sedan,"08-Dec-2009
(7yrs 7mths 7days COE left)",Auto,"$38,495","$38,495",153.0 kW (205 bhp),4
https://www.sgcarmart.com/used_cars/info.php?ID=1079683&DL=3554,Volkswagen Golf GTI 5DR Sunroof (COE till 04/2031),"$98,800","$10,850 /yr","92,299 km (8.6k /yr)","$1,313 /yr","$43,090 as of today (change)","$47,316","1,984 cc","1,339 kg",Sports Car,"17-Jun-2011
(9yrs 1mth 6days COE left)",Auto,"$28,727","$28,727",155.0 kW (207 bhp),4
https://www.sgcarmart.com/used_cars/info.php?ID=1066061&DL=3626,BMW 5 Series 523i (COE till 07/2030),"$82,888","$9,930 /yr","135,000 km (11.6k /yr)","$2,155 /yr","$28,032 as of today (change)","$33,568","2,497 cc","1,650 kg",Luxury Sedan,"29-Jul-2010
(8yrs 4mths 4days COE left)",Auto,"$43,104","$43,104",150.0 kW (201 bhp),2
https://www.sgcarmart.com/used_cars/info.php?ID=1082790&DL=3098,Toyota Vios 1.5A E,"$79,777","$9,650 /yr
View models with similar depre","35,000 km (14.3k /yr)",$682 /yr,"$34,339 as of today (change)","$31,783","1,496 cc","1,085 kg",Mid-Sized Sedan,"10-Oct-2019
(7yrs 6mths 15days COE left)",Auto,"$13,787","$13,787",79.0 kW (105 bhp),1
