CarID,CarName,CarAge,Price,Depreciation,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Type of Vehicle,Reg Date,COE Expiry Date,COE Duration,Transmission,OMV,ARF,Power,No of Owners
1079292,BMW 3 Series 320i Convertible,4223,77800,10950,122800,1450,25166,35411,1995,1625,Sports Car,2010-08-31,2029-04-30,2594,Auto,42271,42271,115.0,4
1047169,Honda Fit 1.3A G F-Package,756,78800,9510,18241,578,28819,30000,1317,1030,Hatchback,2020-02-27,2030-02-26,2896,Auto,16688,6688,73.0,1
1068270,Subaru Forester 2.0XT Sunroof,1819,78888,13930,84000,1210,40200,53300,1998,1682,SUV,2017-03-31,2030-02-26,2896,Auto,17931,17931,177.0,2
1082468,Mercedes-Benz A-Class A200 Sunroof,3178,39800,22910,150000,740,19225,62497,1595,1395,Hatchback,2013-07-11,2023-07-10,473,Auto,27306,20229,115.0,4
1035819,BMW 4 Series 428i Gran Coupe Luxury Sunroof,2165,106888,19570,105000,1210,57256,47000,1997,1530,Luxury Sedan,2016-04-19,2026-04-18,1486,Auto,44613,54459,180.0,2
1070214,Honda Stream 1.8A Style Edition,5493,39800,8020,128000,1467,24980,50347,1799,1350,MPV,2007-03-10,2027-03-09,1811,Auto,18120,19932,103.0,3
1068443,Mercedes-Benz CLA-Class CLA180 Urban,1325,118800,16070,75000,740,46259,34110,1595,1430,Luxury Sedan,2018-08-07,2028-08-06,2327,Auto,29059,32683,90.0,1
1081649,Toyota Wish 1.8A X,1826,71800,12450,67714,974,39849,53001,1797,1350,MPV,2017-03-24,2028-08-06,2327,Auto,19098,19098,105.0,2
1073386,Audi Q3 1.4A TFSI S-Tronic,1878,106800,18790,48000,624,47395,52807,1395,1480,SUV,2017-01-31,2027-01-30,1773,Auto,27901,31062,110.0,1
1079551,Honda Freed 1.5A G,4091,68800,8070,115000,818,28255,33140,1496,1310,MPV,2011-01-10,2030-09-30,3112,Auto,23506,23506,87.0,3
1077339,Lexus IS Turbo IS200t Executive,2093,95500,17160,62000,1210,55490,57010,1998,1620,Luxury Sedan,2016-06-30,2030-09-30,3112,Auto,37505,44507,180.0,2
1069862,Mercedes-Benz A-Class A180,2425,62800,15850,56835,740,34771,66590,1595,1395,Hatchback,2015-08-03,2025-08-02,1227,Auto,22896,19055,90.0,2
1067316,Porsche Cayenne S 4.8A Tip,3950,171888,18700,85064,5731,45684,49716,4806,2065,SUV,2011-05-31,2031-05-30,3354,Auto,97825,97825,294.0,4
1077112,BMW X3 xDrive30i,1442,168800,22690,45000,1210,70765,39001,1998,1715,SUV,2018-04-12,2031-05-30,3354,Auto,50482,62868,185.0,1
1075890,Volvo V40 T2,1486,79800,11350,94500,684,42348,39903,1498,1454,Hatchback,2018-02-27,2031-05-30,3354,Auto,23530,24942,90.0,2
1082168,Mercedes-Benz GLC-Class GLC250 4MATIC Sunroof,1364,154800,20570,31000,1202,61330,36000,1991,1735,SUV,2018-06-29,2031-05-30,3354,Auto,42632,51685,155.0,2
1077895,Audi A7 Sportback 3.0A TFSI Quattro,3779,152000,15740,148000,2618,64113,66387,2995,1785,Luxury Sedan,2011-11-18,2031-11-17,3525,Auto,75798,75798,220.0,1
1082996,BMW 5 Series 535i Gran Turismo Sunroof,4075,107800,12280,130400,2834,35739,40714,2979,2015,Luxury Sedan,2011-01-26,2031-11-17,3525,Auto,49466,49466,225.0,3
1081436,BMW 5 Series 530i M-Sport,1812,151800,23400,89400,1210,78071,54501,1998,1540,Luxury Sedan,2017-04-07,2031-11-17,3525,Auto,53252,67854,185.0,1
1046681,MINI One 1.2A 5DR,1931,78800,15440,58000,508,33273,52668,1198,1175,Hatchback,2016-12-09,2026-12-08,1720,Auto,21484,12078,75.0,1
1081107,Mercedes-Benz C-Class C200 Avantgarde,2530,79800,19760,83000,1202,47516,74000,1991,1465,Luxury Sedan,2015-04-20,2025-04-19,1122,Auto,40075,38105,135.0,1
1074587,SEAT Toledo 1.4A TSI DSG Style,937,76800,9680,43188,624,31511,32725,1395,1227,Mid-Sized Sedan,2019-08-30,2025-04-19,1122,Auto,19559,9559,92.0,1
1069961,Honda Shuttle 1.5A G Honda Sensing,535,93800,10240,22473,682,37441,32699,1496,1130,Stationwagon,2020-10-05,2030-10-04,3116,Auto,21929,12701,95.0,1
1082432,Toyota Camry 2.0A,4928,54800,8420,126000,1694,21727,33377,1998,1530,Luxury Sedan,2008-09-25,2030-10-04,3116,Auto,25403,25403,108.0,2
1056403,Mitsubishi Attrage 1.2A,577,74800,8580,10698,506,31289,32699,1193,945,Mid-Sized Sedan,2020-08-24,2030-10-04,3116,Auto,14719,5000,59.0,1
1081308,MINI Cooper S Countryman 2.0A,377,198900,19310,6000,1210,83428,50100,1998,1480,Sports Car,2021-03-12,2030-10-04,3116,Auto,42370,51318,131.0,1
1073885,Mercedes-Benz R-Class R300L,4091,97500,11780,138670,2858,27774,33568,2996,2175,MPV,2011-01-10,2030-06-30,3020,Auto,70265,70265,170.0,3
1069738,Audi A6 2.0A TFSI MU,3097,48888,18850,62000,1194,35363,87001,1984,1565,Luxury Sedan,2013-09-30,2030-06-30,3020,Auto,38181,40454,132.0,1
1082654,Audi A4 1.4A TFSI S-tronic,1668,102800,15780,101000,624,54786,53711,1395,1450,Luxury Sedan,2017-08-29,2030-06-30,3020,Auto,37243,34141,110.0,2
1074886,BMW 5 Series 520i Sport,1458,148800,20100,53500,1210,64205,37010,1998,1530,Luxury Sedan,2018-03-27,2030-06-30,3020,Auto,45675,55945,135.0,2
1078535,Honda Fit 1.3A GF Honda Sensing,826,78800,9770,26121,578,30214,32889,1317,1030,Hatchback,2019-12-19,2029-12-18,2826,Auto,16333,6333,73.0,1
1079936,Toyota Sienta Hybrid 1.5A G,1547,74888,12560,50000,682,25770,38200,1496,1380,MPV,2017-12-28,2029-12-18,2826,Auto,24545,5000,73.0,1
1082006,Citroen C4 Cactus 1.2A PureTech,1336,67000,9120,50000,508,34421,32699,1199,1050,SUV,2018-07-27,2028-07-26,2316,Auto,18231,18231,81.0,1
1066415,Honda Jade 1.5A RS,2044,69800,12400,105000,682,46369,57010,1496,1514,MPV,2016-08-18,2028-07-26,2316,Auto,27417,30384,110.0,2
986329,Jaguar F-Type 3.0SC S ST2 Convertible,3013,156888,50470,52000,2380,89264,83000,2995,1667,Sports Car,2013-12-23,2028-07-26,2316,Auto,91705,137069,280.0,6
1057028,Toyota Wish 1.8A,5501,51000,10320,131015,1458,24870,50347,1794,1300,MPV,2007-03-02,2027-03-01,1803,Auto,16218,17840,97.0,3
1082071,Mercedes-Benz CLA-Class CLA180 Urban,1287,126800,17050,30027,740,46412,33798,1595,1430,Luxury Sedan,2018-09-14,2028-09-13,2365,Auto,29059,32683,90.0,2
1063538,Audi A5 Coupe 2.0A TFSI S-tronic Design,1566,137000,20130,32147,1194,65814,57390,1984,1495,Sports Car,2017-12-09,2027-12-08,2085,Auto,40743,44041,140.0,1
1015468,Hyundai i30 1.4A T-GDi DCT Turbo,742,95800,10870,23505,600,39768,32699,1353,1240,Hatchback,2020-03-12,2030-03-11,2909,Auto,18277,18277,95.6,1
1082001,Mercedes-Benz GLA-Class GLA180 Urban Edition,1380,119500,16590,75000,740,47415,37000,1595,1435,SUV,2018-06-13,2030-03-11,2909,Auto,28937,32512,90.0,1
1071426,Mercedes-Benz A-Class A180 Style,2121,73888,15280,92000,740,31713,43000,1595,1395,Hatchback,2016-06-02,2030-03-11,2909,Auto,23253,19555,90.0,3
1077832,BMW 2 Series 220i Coupe M-Sport Sunroof,2780,65500,19920,69000,1210,37903,68689,1997,1365,Sports Car,2014-08-13,2024-08-12,872,Auto,38444,35822,135.0,3
1078707,Mercedes-Benz E-Class E250 CGI Avantgarde,4553,76800,10190,110000,1266,28265,37502,1796,1650,Luxury Sedan,2009-10-05,2029-10-04,2751,Auto,55070,55070,150.0,2
1075856,Volkswagen Golf 1.4A TSI R-Line Sunroof,1820,78888,14040,44568,624,39236,53001,1395,1288,Hatchback,2017-03-30,2029-10-04,2751,Auto,24957,16940,110.0,1
1072483,BMW 2 Series 216i Gran Tourer Luxury,1575,99800,14450,93746,684,53197,47112,1499,1480,MPV,2017-11-30,2029-10-04,2751,Auto,30858,35202,75.0,1
1079991,BMW 1 Series 116i,3074,36800,16000,160000,742,26094,85000,1598,1310,Hatchback,2013-10-23,2023-10-22,577,Auto,29294,23012,100.0,2
1051018,Toyota Rav4 2.4A,5351,48800,9120,112891,2457,28077,52473,2362,1605,SUV,2007-07-30,2027-07-29,1953,Auto,28594,31454,125.0,2
1082794,Subaru Forester 2.0XT Sunroof,2096,69800,14140,102900,1210,37261,56000,1998,1682,SUV,2016-06-27,2027-07-29,1953,Auto,19148,19148,177.0,2
1023854,Honda Mobilio 1.5A RS i-VTEC Luxe,2046,58800,11220,78125,684,36522,53000,1497,1160,MPV,2016-08-16,2027-07-29,1953,Auto,18881,18881,88.0,1
1078633,Honda HR-V 1.5A LX,1970,66800,12300,78415,682,37242,50000,1496,1190,SUV,2016-10-31,2027-07-29,1953,Auto,23790,20306,96.0,1
1078829,Mercedes-Benz GLB-Class GLB200 AMG Line 4MATIC Premium Plus 7-Seater,414,215800,21230,4500,586,77769,41101,1332,1555,SUV,2021-02-03,2027-07-29,1953,Auto,45065,55091,120.0,1
1079954,Toyota Corolla Axio 1.5A X,4934,12800,8600,100000,955,4811,16170,1496,1130,Mid-Sized Sedan,2008-09-19,2023-09-18,543,Auto,12300,12300,81.0,4
1062936,Volkswagen Golf SV 1.4A TSI Comfortline,1150,89800,11200,60236,624,36656,25000,1395,1383,Hatchback,2019-01-29,2029-01-28,2502,Auto,24304,26026,92.0,1
